Id;Suggested;Title;IsLeaf;IsAdoptedChild;AverageDepth;Level;ConceptDetailsId;ParentId
A00;;A00_Cholera;0;0;3;3;NULL;A00-A09
A00.0;;A00.0_Cholera due to Vibrio cholerae 01, biovar cholerae;1;0;4;4;NULL;A00
A00.1;;A00.1_Cholera due to Vibrio cholerae 01, biovar eltor;1;0;4;4;NULL;A00
A00.9;;A00.9_Cholera, unspecified;1;0;4;4;NULL;A00
A00-A09;;A00-A09_Intestinal infectious diseases;0;0;2;2;NULL;I
A01;;A01_Typhoid and paratyphoid fevers;0;0;3;3;NULL;A00-A09
A01.0;;A01.0_Typhoid fever;1;0;4;4;NULL;A01
A01.1;;A01.1_Paratyphoid fever A;1;0;4;4;NULL;A01
A01.2;;A01.2_Paratyphoid fever B;1;0;4;4;NULL;A01
A01.3;;A01.3_Paratyphoid fever C;1;0;4;4;NULL;A01
A01.4;;A01.4_Paratyphoid fever, unspecified;1;0;4;4;NULL;A01
A02;;A02_Other salmonella infections;0;0;3;3;NULL;A00-A09
A02.0;;A02.0_Salmonella enteritis;1;0;4;4;NULL;A02
A02.1;;A02.1_Salmonella sepsis;1;0;4;4;NULL;A02
A02.2;;A02.2_Localized salmonella infections;1;0;4;4;NULL;A02
A02.8;;A02.8_Other specified salmonella infections;1;0;4;4;NULL;A02
A02.9;;A02.9_Salmonella infection, unspecified;1;0;4;4;NULL;A02
A03;;A03_Shigellosis;0;0;3;3;NULL;A00-A09
A03.0;;A03.0_Shigellosis due to Shigella dysenteriae;1;0;4;4;NULL;A03
A03.1;;A03.1_Shigellosis due to Shigella flexneri;1;0;4;4;NULL;A03
A03.2;;A03.2_Shigellosis due to Shigella boydii;1;0;4;4;NULL;A03
A03.3;;A03.3_Shigellosis due to Shigella sonnei;1;0;4;4;NULL;A03
A03.8;;A03.8_Other shigellosis;1;0;4;4;NULL;A03
A03.9;;A03.9_Shigellosis, unspecified;1;0;4;4;NULL;A03
A04;;A04_Other bacterial intestinal infections;0;0;3;3;NULL;A00-A09
A04.0;;A04.0_Enteropathogenic Escherichia coli infection;1;0;4;4;NULL;A04
A04.1;;A04.1_Enterotoxigenic Escherichia coli infection;1;0;4;4;NULL;A04
A04.2;;A04.2_Enteroinvasive Escherichia coli infection;1;0;4;4;NULL;A04
A04.3;;A04.3_Enterohaemorrhagic Escherichia coli infection;1;0;4;4;NULL;A04
A04.4;;A04.4_Other intestinal Escherichia coli infections;1;0;4;4;NULL;A04
A04.5;;A04.5_Campylobacter enteritis;1;0;4;4;NULL;A04
A04.6;;A04.6_Enteritis due to Yersinia enterocolitica;1;0;4;4;NULL;A04
A04.7;;A04.7_Enterocolitis due to Clostridium difficile;1;0;4;4;NULL;A04
A04.8;;A04.8_Other specified bacterial intestinal infections;1;0;4;4;NULL;A04
A04.9;;A04.9_Bacterial intestinal infection, unspecified;1;0;4;4;NULL;A04
A05;;A05_Other bacterial foodborne intoxications, not elsewhere classified;0;0;3;3;NULL;A00-A09
A05.0;;A05.0_Foodborne staphylococcal intoxication;1;0;4;4;NULL;A05
A05.1;;A05.1_Botulism;1;0;4;4;NULL;A05
A05.2;;A05.2_Foodborne Clostridium perfringens [Clostridium welchii] intoxication;1;0;4;4;NULL;A05
A05.3;;A05.3_Foodborne Vibrio parahaemolyticus intoxication;1;0;4;4;NULL;A05
A05.4;;A05.4_Foodborne Bacillus cereus intoxication;1;0;4;4;NULL;A05
A05.8;;A05.8_Other specified bacterial foodborne intoxications;1;0;4;4;NULL;A05
A05.9;;A05.9_Bacterial foodborne intoxication, unspecified;1;0;4;4;NULL;A05
A06;;A06_Amoebiasis;0;0;3;3;NULL;A00-A09
A06.0;;A06.0_Acute amoebic dysentery;1;0;4;4;NULL;A06
A06.1;;A06.1_Chronic intestinal amoebiasis;1;0;4;4;NULL;A06
A06.2;;A06.2_Amoebic nondysenteric colitis;1;0;4;4;NULL;A06
A06.3;;A06.3_Amoeboma of intestine;1;0;4;4;NULL;A06
A06.4;;A06.4_Amoebic liver abscess;1;0;4;4;NULL;A06
A06.5;;A06.5_Amoebic lung abscess;1;0;4;4;NULL;A06
A06.6;;A06.6_Amoebic brain abscess;1;0;4;4;NULL;A06
A06.7;;A06.7_Cutaneous amoebiasis;1;0;4;4;NULL;A06
A06.8;;A06.8_Amoebic infection of other sites;1;0;4;4;NULL;A06
A06.9;;A06.9_Amoebiasis, unspecified;1;0;4;4;NULL;A06
A07;;A07_Other protozoal intestinal diseases;0;0;3;3;NULL;A00-A09
A07.0;;A07.0_Balantidiasis;1;0;4;4;NULL;A07
A07.1;;A07.1_Giardiasis [lambliasis];1;0;4;4;NULL;A07
A07.2;;A07.2_Cryptosporidiosis;1;0;4;4;NULL;A07
A07.3;;A07.3_Isosporiasis;1;0;4;4;NULL;A07
A07.8;;A07.8_Other specified protozoal intestinal diseases;1;0;4;4;NULL;A07
A07.9;;A07.9_Protozoal intestinal disease, unspecified;1;0;4;4;NULL;A07
A08;;A08_Viral and other specified intestinal infections;0;0;3;3;NULL;A00-A09
A08.0;;A08.0_Rotaviral enteritis;1;0;4;4;NULL;A08
A08.1;;A08.1_Acute gastroenteropathy due to Norovirus;1;0;4;4;NULL;A08
A08.2;;A08.2_Adenoviral enteritis;1;0;4;4;NULL;A08
A08.3;;A08.3_Other viral enteritis;1;0;4;4;NULL;A08
A08.4;;A08.4_Viral intestinal infection, unspecified;1;0;4;4;NULL;A08
A08.5;;A08.5_Other specified intestinal infections;1;0;4;4;NULL;A08
A09;;A09_Other gastroenteritis and colitis of infectious and unspecified origin;0;0;3;3;NULL;A00-A09
A09.0;;A09.0_Other and unspecified gastroenteritis and colitis of infectious origin;1;0;4;4;NULL;A09
A09.9;;A09.9_Gastroenteritis and colitis of unspecified origin;1;0;4;4;NULL;A09
A15;;A15_Respiratory tuberculosis, bacteriologically and histologically confirmed;0;0;3;3;NULL;A15-A19
A15.0;;A15.0_Tuberculosis of lung, confirmed by sputum microscopy with or without culture;1;0;4;4;NULL;A15
A15.1;;A15.1_Tuberculosis of lung, confirmed by culture only;1;0;4;4;NULL;A15
A15.2;;A15.2_Tuberculosis of lung, confirmed histologically;1;0;4;4;NULL;A15
A15.3;;A15.3_Tuberculosis of lung, confirmed by unspecified means;1;0;4;4;NULL;A15
A15.4;;A15.4_Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15.5;;A15.5_Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15.6;;A15.6_Tuberculous pleurisy, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15.7;;A15.7_Primary respiratory tuberculosis, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15.8;;A15.8_Other respiratory tuberculosis, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15.9;;A15.9_Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;1;0;4;4;NULL;A15
A15-A19;;A15-A19_Tuberculosis;0;0;2;2;NULL;I
A16;;A16_Respiratory tuberculosis, not confirmed bacteriologically or histologically;0;0;3;3;NULL;A15-A19
A16.0;;A16.0_Tuberculosis of lung, bacteriologically and histologically negative;1;0;4;4;NULL;A16
A16.1;;A16.1_Tuberculosis of lung, bacteriological and histological examination not done;1;0;4;4;NULL;A16
A16.2;;A16.2_Tuberculosis of lung, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.3;;A16.3_Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.4;;A16.4_Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.5;;A16.5_Tuberculous pleurisy, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.7;;A16.7_Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.8;;A16.8_Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A16.9;;A16.9_Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;1;0;4;4;NULL;A16
A17;;A17_Tuberculosis of nervous system;0;0;3;3;NULL;A15-A19
A17.0;;A17.0_Tuberculous meningitis;1;0;4;4;NULL;A17
A17.1;;A17.1_Meningeal tuberculoma;1;0;4;4;NULL;A17
